% f evaluations | g evaluations | best noise-free fitness - Fopt (-1.025500000000e+02) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
11514 0 +1.234959080e+00 -2.551450409e+02 -2.551450409e+02 -5.2156e-01 -3.0607e+00 -5.0530e-02 +1.6603e+00 +6.6884e-01
13017 0 +1.077211939e+00 -2.553027881e+02 -2.553027881e+02 -7.9892e-01 -2.6144e+00 -1.6533e+00 +7.9639e-02 +2.0090e+00
13509 0 +8.949997903e-01 -2.554850002e+02 -2.554850002e+02 -9.0777e-01 -2.7397e+00 -1.6631e+00 +1.1842e-01 +2.2248e+00
16654 0 +6.597456412e-01 -2.557202544e+02 -2.557202544e+02 -6.0731e-01 -3.2171e+00 -1.8519e+00 +3.5953e-01 +1.4569e+00
41080 0 +6.597456412e-01 -2.557202544e+02 -2.557202544e+02 -6.0731e-01 -3.2171e+00 -1.8519e+00 +3.5953e-01 +1.4569e+00
% f evaluations | g evaluations | best noise-free fitness - Fopt (-1.451600000000e+02) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +3.088873431e+01 -1.142712657e+02 -1.142712657e+02 +3.1514e+00 +4.9241e+00 -3.8330e+00 -1.9167e+00 +4.1237e-01
2 0 +1.182762994e+01 -1.333323701e+02 -1.333323701e+02 +1.8580e+00 -6.6158e-02 -2.4071e+00 -1.4134e+00 -9.3702e-01
9 0 +1.117946716e+01 -1.339805328e+02 -1.339805328e+02 -3.4342e+00 +1.1213e+00 -2.0107e+00 -6.6889e-01 +1.7462e+00
29 0 +9.929261763e+00 -1.352307382e+02 -1.352307382e+02 +1.8483e+00 -3.0085e+00 -3.5642e-02 +1.1981e+00 -4.1125e+00
57 0 +5.386763518e+00 -1.397732365e+02 -1.397732365e+02 +4.5992e-01 -3.8032e+00 +4.0967e+00 +1.3794e-01 -3.1869e+00
